INFO [moustache] [2025-06-07 17:29:02] INFO [Network Event]: 🔥   Fire Trigger Stopped  🔥 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:29:20] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:30:29] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:30:29] INFO [Network Event]: 🔥   Fire Trigger Started  🔥 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:30:35] INFO [Network Event]: 🔥   Fire Trigger Stopped  🔥 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:31:20] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: TEST
INFO [moustache] [2025-06-07 17:57:27] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 8 @ 192.168.1.240 -- Diverted to Hub Channel: 6 | Mode: 
INFO [moustache] [2025-06-07 17:58:51] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: 
INFO [moustache] [2025-06-07 18:50:01] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:50:20] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:50:22] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:50:25] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:50:29] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:50:32] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:50:45] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:51:04] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:51:05] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:51:09] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:58:01] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 18:58:16] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 19:17:26] INFO [Network Event]: 🔥   Fire Trigger Started  🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 19:17:28] INFO [Network Event]: 🚨 Thermal Trigger Started 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 19:18:06] INFO [Network Event]: 🚨 Thermal Trigger Stopped 🚨 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
INFO [moustache] [2025-06-07 19:18:45] INFO [Network Event]: 🔥   Fire Trigger Stopped  🔥 - Camera 1 @ 192.168.1.240 -- Diverted to Hub Channel: 1 | Mode: BOOTING
